x,y,z,intensity
1.011000037193298340e+00,1.259999990463256836e+00,1.906999945640563965e+00,1.065353216000000000e+09
1.032999992370605469e+00,1.376999974250793457e+00,1.907999992370605469e+00,1.065353216000000000e+09
1.052000045776367188e+00,1.491000056266784668e+00,1.902999997138977051e+00,1.065353216000000000e+09
1.069000005722045898e+00,1.608000040054321289e+00,1.894999980926513672e+00,1.065353216000000000e+09
9.850000143051147461e-01,1.282999992370605469e+00,1.904999971389770508e+00,1.065353216000000000e+09
1.001999974250793457e+00,1.399000048637390137e+00,1.906000018119812012e+00,1.065353216000000000e+09
1.016000032424926758e+00,1.511999964714050293e+00,1.901000022888183594e+00,1.065353216000000000e+09
1.029000043869018555e+00,1.629999995231628418e+00,1.896999955177307129e+00,1.065353216000000000e+09
9.589999914169311523e-01,1.305999994277954102e+00,1.904000043869018555e+00,1.065353216000000000e+09
9.710000157356262207e-01,1.421000003814697266e+00,1.906000018119812012e+00,1.065353216000000000e+09
9.829999804496765137e-01,1.536000013351440430e+00,1.906000018119812012e+00,1.065353216000000000e+09
9.890000224113464355e-01,1.651000022888183594e+00,1.898000001907348633e+00,1.065353216000000000e+09
9.340000152587890625e-01,1.330999970436096191e+00,1.906999945640563965e+00,1.065353216000000000e+09
9.409999847412109375e-01,1.445000052452087402e+00,1.909000039100646973e+00,1.065353216000000000e+09
9.470000267028808594e-01,1.555999994277954102e+00,1.904999971389770508e+00,1.065353216000000000e+09
9.449999928474426270e-01,1.664000034332275391e+00,1.893000006675720215e+00,1.065353216000000000e+09
9.100000262260437012e-01,1.358000040054321289e+00,1.911999940872192383e+00,1.065353216000000000e+09
9.110000133514404297e-01,1.467000007629394531e+00,1.909999966621398926e+00,1.065353216000000000e+09
9.100000262260437012e-01,1.574000000953674316e+00,1.904000043869018555e+00,1.065353216000000000e+09
9.079999923706054688e-01,1.687999963760375977e+00,1.901000022888183594e+00,1.065353216000000000e+09
8.830000162124633789e-01,1.379999995231628418e+00,1.909999966621398926e+00,1.065353216000000000e+09
8.780000209808349609e-01,1.486999988555908203e+00,1.909000039100646973e+00,1.065353216000000000e+09
8.740000128746032715e-01,1.593999981880187988e+00,1.904999971389770508e+00,1.065353216000000000e+09
8.629999756813049316e-01,1.699000000953674316e+00,1.896000027656555176e+00,1.065353216000000000e+09
8.529999852180480957e-01,1.398000001907348633e+00,1.904999971389770508e+00,1.065353216000000000e+09
8.460000157356262207e-01,1.506999969482421875e+00,1.909000039100646973e+00,1.065353216000000000e+09
8.379999995231628418e-01,1.613999962806701660e+00,1.909000039100646973e+00,1.065353216000000000e+09
8.199999928474426270e-01,1.710999965667724609e+00,1.891999959945678711e+00,1.065353216000000000e+09
8.289999961853027344e-01,1.427000045776367188e+00,1.914999961853027344e+00,1.065353216000000000e+09
8.119999766349792480e-01,1.524000048637390137e+00,1.906999945640563965e+00,1.065353216000000000e+09
7.969999909400939941e-01,1.625000000000000000e+00,1.901999950408935547e+00,1.065353216000000000e+09
7.789999842643737793e-01,1.728000044822692871e+00,1.896000027656555176e+00,1.065353216000000000e+09
