x,y,z,intensity
1.467899990081787109e+01,-2.388000011444091797e+00,3.197999954223632812e+00,1.065353216000000000e+09
1.484500026702880859e+01,-2.200999975204467773e+00,2.835000038146972656e+00,1.065353216000000000e+09
1.499699974060058594e+01,-2.028000116348266602e+00,2.467999935150146484e+00,1.065353216000000000e+09
1.513799953460693359e+01,-1.855000019073486328e+00,2.085000038146972656e+00,1.065353216000000000e+09
1.484000015258789062e+01,-2.082999944686889648e+00,3.204999923706054688e+00,1.065353216000000000e+09
1.516600036621093750e+01,-1.899000048637390137e+00,2.872999906539916992e+00,1.065353216000000000e+09
1.532900047302246094e+01,-1.705000042915344238e+00,2.503999948501586914e+00,1.065353216000000000e+09
1.549300003051757812e+01,-1.514999985694885254e+00,2.121999979019165039e+00,1.065353216000000000e+09
1.496599960327148438e+01,-1.764999985694885254e+00,3.203999996185302734e+00,1.065353216000000000e+09
1.549899959564208984e+01,-1.582000017166137695e+00,2.914999961853027344e+00,1.065353216000000000e+09
1.572399997711181641e+01,-1.376999974250793457e+00,2.552999973297119141e+00,1.065353216000000000e+09
1.581299972534179688e+01,-1.159999966621398926e+00,2.155999898910522461e+00,1.065353216000000000e+09
1.531400012969970703e+01,-1.467000007629394531e+00,3.252000093460083008e+00,1.065353216000000000e+09
1.586600017547607422e+01,-1.256999969482421875e+00,2.963000059127807617e+00,1.065353216000000000e+09
1.597700023651123047e+01,-1.019999980926513672e+00,2.579999923706054688e+00,1.065353216000000000e+09
1.627099990844726562e+01,-7.990000247955322266e-01,2.210999965667724609e+00,1.065353216000000000e+09
1.586100006103515625e+01,-1.166000008583068848e+00,3.341000080108642578e+00,1.065353216000000000e+09
1.619400024414062500e+01,-9.139999747276306152e-01,3.005000114440917969e+00,1.065353216000000000e+09
1.643600082397460938e+01,-6.629999876022338867e-01,2.641000032424926758e+00,1.065353216000000000e+09
1.665600013732910156e+01,-4.099999964237213135e-01,2.256000041961669922e+00,1.065353216000000000e+09
1.563700008392333984e+01,-8.059999942779541016e-01,3.269999980926513672e+00,1.065353216000000000e+09
1.656100082397460938e+01,-5.580000281333923340e-01,3.055000066757202148e+00,1.065353216000000000e+09
1.682099914550781250e+01,-2.840000092983245850e-01,2.690999984741210938e+00,1.065353216000000000e+09
1.708900070190429688e+01,-6.000000052154064178e-03,2.309000015258789062e+00,1.065353216000000000e+09
1.594900035858154297e+01,-4.720000028610229492e-01,3.312000036239624023e+00,1.065353216000000000e+09
1.668000030517578125e+01,-1.800000071525573730e-01,3.059000015258789062e+00,1.065353216000000000e+09
1.724699974060058594e+01,1.129999980330467224e-01,2.749000072479248047e+00,1.065353216000000000e+09
1.754000091552734375e+01,4.180000126361846924e-01,2.367000102996826172e+00,1.065353216000000000e+09
1.632999992370605469e+01,-1.209999993443489075e-01,3.368000030517578125e+00,1.065353216000000000e+09
1.696299934387207031e+01,2.010000050067901611e-01,3.095999956130981445e+00,1.065353216000000000e+09
1.764500045776367188e+01,5.339999794960021973e-01,2.802999973297119141e+00,1.065353216000000000e+09
