x,y,z,intensity
1.097000002861022949e+00,2.424999952316284180e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.044000029563903809e+00,2.063999891281127930e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.047000050544738770e+00,2.190000057220458984e+00,1.917999982833862305e+00,1.065353216000000000e+09
1.042999982833862305e+00,2.313999891281127930e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.036999940872192383e+00,2.444999933242797852e+00,1.911999940872192383e+00,1.065353216000000000e+09
1.003000020980834961e+00,2.092000007629394531e+00,1.914999961853027344e+00,1.065353216000000000e+09
9.980000257492065430e-01,2.210999965667724609e+00,1.916000008583068848e+00,1.065353216000000000e+09
9.850000143051147461e-01,2.328000068664550781e+00,1.906000018119812012e+00,1.065353216000000000e+09
9.789999723434448242e-01,2.471999883651733398e+00,1.919000029563903809e+00,1.065353216000000000e+09
9.589999914169311523e-01,2.115999937057495117e+00,1.914999961853027344e+00,1.065353216000000000e+09
9.490000009536743164e-01,2.233999967575073242e+00,1.916000008583068848e+00,1.065353216000000000e+09
9.319999814033508301e-01,2.352999925613403320e+00,1.911000013351440430e+00,1.065353216000000000e+09
9.139999747276306152e-01,2.480999946594238281e+00,1.912999987602233887e+00,1.065353216000000000e+09
9.139999747276306152e-01,2.135999917984008789e+00,1.911999940872192383e+00,1.065353216000000000e+09
8.999999761581420898e-01,2.256999969482421875e+00,1.917999982833862305e+00,1.065353216000000000e+09
8.799999952316284180e-01,2.378999948501586914e+00,1.917000055313110352e+00,1.065353216000000000e+09
8.510000109672546387e-01,2.492000102996826172e+00,1.909999966621398926e+00,1.065353216000000000e+09
8.730000257492065430e-01,2.165999889373779297e+00,1.917999982833862305e+00,1.065353216000000000e+09
8.489999771118164062e-01,2.273999929428100586e+00,1.916000008583068848e+00,1.065353216000000000e+09
8.209999799728393555e-01,2.391000032424926758e+00,1.912999987602233887e+00,1.065353216000000000e+09
7.919999957084655762e-01,2.516000032424926758e+00,1.917999982833862305e+00,1.065353216000000000e+09
8.280000090599060059e-01,2.187999963760375977e+00,1.919000029563903809e+00,1.065353216000000000e+09
7.979999780654907227e-01,2.290999889373779297e+00,1.914000034332275391e+00,1.065353216000000000e+09
7.649999856948852539e-01,2.407000064849853516e+00,1.912999987602233887e+00,1.065353216000000000e+09
